기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),일사(MJ/m2),3시간신적설(cm),전운량(10분위),시간,노면상태
3.7,0.0,2.6,57.0,4.5,-4.0,0.88,0.0,7.0,12,0.0
4.0,0.0,3.1,57.0,4.6,-3.7,0.46,0.0,8.0,15,0.0
3.3,0.0,2.3,58.0,4.5,-4.1,0.49,0.0,7.0,16,0.0
4.3,0.0,2.1,57.0,4.8,-3.4,1.67,0.0,4.0,12,0.0
3.6,0.15,2.5,57.0,4.5,-4.1,0.62,0.0,10.0,13,0.0
4.9,0.0,1.5,56.0,4.9,-3.1,1.18,0.0,7.0,11,0.0
5.5,0.0,1.3,56.0,5.033333333333333,-2.5666666666666664,0.91,0.0,7.666666666666667,13,0.0
4.7,0.0,2.6,56.0,4.8,-3.3,0.56,0.0,9.0,14,0.0
4.3,0.0,1.0,56.0,4.6,-3.7,0.68,0.0,10.0,12,0.0
3.7,0.0,4.3,57.0,4.5,-4.0,1.15,0.0,6.0,14,0.0
3.4,0.0166666666666666,2.4,57.0,4.4,-4.3,0.58,0.0,9.0,13,0.0
5.2,0.0,1.4,56.0,5.0,-2.8,0.37,0.0,9.0,14,0.0
3.2,0.0,2.4,57.0,4.4,-4.5,0.86,0.0,7.0,11,0.0
4.5,0.0,0.8,56.0,4.7,-3.5,0.71,0.0,7.0,12,0.0
3.7,0.0,2.0,56.0,4.7,-3.6333333333333337,0.51,0.0,9.0,11,0.0
3.5,0.0,5.1,57.0,4.5,-4.2,1.11,0.0,8.0,12,0.0
4.1,0.0,2.6,57.0,4.7,-3.6,1.54,0.0,5.0,11,0.0
4.2,0.0,4.6,56.0,4.6,-3.8,0.58,0.0,8.0,12,0.0
3.2,0.0,3.7,57.0,4.4,-4.5,1.13,0.0,7.0,12,0.0
5.1,0.0,1.8,56.0,4.9,-2.9,0.78,0.0,10.0,12,0.0
5.0,0.0,5.0,56.0,4.9,-3.0,0.81,0.0,8.0,14,0.0
4.4,0.0,3.3,57.0,4.8,-3.3,0.16,0.0,7.0,17,0.0
4.2,0.0,1.0,57.0,4.7,-3.5,0.26,0.0,8.0,17,0.0
4.2,0.0,5.9,57.0,4.7,-3.5,0.41,0.0,9.0,13,0.0
4.8,0.0,3.7,56.0,4.8,-3.2,0.86,0.0,8.0,15,0.0
3.6,0.0,4.9,57.0,4.5,-4.1,1.01,0.0,6.0,11,0.0
4.6,0.0,3.6,56.0,4.8,-3.4,0.23,0.0,10.0,15,0.0
3.9,0.0,1.2,57.0,4.6,-3.8,0.8,0.0,9.0,11,0.0
3.8,0.0,0.5,56.0,4.5,-4.1,0.64,0.0,6.0,11,0.0
3.1,0.0,1.9,58.0,4.4,-4.3,0.23,0.0,10.0,16,0.0
3.4,0.0,2.1,57.0,4.4,-4.3,0.78,0.0,7.0,10,0.0
5.4,0.0,1.4,56.0,5.0,-2.6,1.89,0.0,5.0,12,0.0
4.7,0.0,4.0,57.0,4.9,-3.1,0.16,0.0,6.0,17,0.0
3.7,0.0,2.3,58.0,4.6,-3.8,0.45,0.0,9.0,14,0.0
2.9,0.0,1.1,57.0,4.3,-4.8,0.83,0.0,8.333333333333334,11,0.0
3.2,0.0,1.8,58.0,4.5,-4.2,0.29,0.0,10.0,15,0.0
5.9,0.0,3.5,56.0,5.2,-2.2,2.24,0.0,5.0,13,0.0
3.8,0.0,2.8,58.0,4.6,-3.7,0.4,0.0,9.0,15,0.0
4.1,0.0,2.0,56.0,4.6,-3.9,0.68,0.0,9.0,15,0.0
3.7,0.0,2.5,58.0,4.6,-3.8,0.27,0.0,9.0,16,0.0
2.8,0.0,2.3,57.0,4.3,-4.8,0.97,0.0,6.0,11,0.0
4.4,0.0,2.0,56.0,4.7,-3.6,0.53,0.0,9.0,16,0.0
3.6,0.0,2.0,56.0,4.4,-4.3,0.69,0.0,6.0,10,0.0
4.2,0.0,3.0,57.0,4.7,-3.5,0.0,0.0,7.0,18,0.0
3.9,0.0,4.2,58.0,4.7,-3.6,0.4,0.0,8.0,16,0.0
3.9,0.0,0.8,57.0,4.6,-3.8,0.28,0.0,10.0,11,0.0
4.3,0.0,5.6,56.0,4.6,-3.7,0.91,0.0,10.0,13,0.0
5.2,0.0,1.4,57.0,5.0,-2.6,1.67,0.0,3.0,12,0.0
4.2,0.0,3.3,58.0,4.8,-3.3,1.56,0.0,7.0,13,0.0
4.1,0.0,3.5,56.0,4.6,-3.9,0.18,0.0,10.0,10,0.0
3.6,0.05,1.4,58.0,4.6,-3.9,0.29,0.0,10.0,15,0.0
5.1,0.0,2.4,57.0,5.133333333333334,-2.4,0.87,0.0,7.666666666666667,11,0.0
4.9,0.3333333333333333,2.2,57.0,4.9,-2.9,0.36,0.0,10.0,13,0.0
2.7,0.05,2.6,57.0,4.2,-4.9,1.16,0.0,6.0,12,0.0
4.9,0.0,2.7,56.0,4.9,-3.1,1.04,0.0,4.0,10,0.0
5.1,0.05,2.7,57.0,5.0,-2.7,0.51,0.0,9.0,15,0.0
4.0,0.0,0.8,56.0,4.6,-3.7,1.15,0.0,4.0,12,0.0
5.0,0.0,3.3,56.0,5.533333333333333,-1.3666666666666667,0.55,0.0,7.333333333333333,11,0.0
6.0,0.0,4.2,56.0,5.3,-1.9,0.75,0.0,7.0,15,0.0
5.9,0.0,2.0,56.0,5.2,-2.2,0.58,0.0,9.0,15,0.0
3.4,0.0,2.2,57.0,4.4,-4.3,1.09,0.0,2.0,11,0.0
5.4,0.0,0.9,56.0,5.0,-2.6,0.57,0.0,6.0,16,0.0
3.8,0.0,5.9,58.0,4.6,-3.7,0.6,0.0,6.0,17,0.0
4.6,0.0,2.4,56.0,4.8,-3.4,0.19,0.0,8.0,17,0.0
5.3,0.0,2.6,55.0,4.9,-3.0,0.85,0.0,8.0,12,0.0
3.6,0.0,0.9,56.0,4.4,-4.3,0.66,0.0,9.0,14,0.0
6.0,0.0,2.5,55.0,5.2,-2.3,0.4,0.0,9.0,12,0.0
3.8,0.0,2.5,56.0,4.5,-4.1,1.25,0.0,4.0,10,0.0
3.4,0.0,1.8,56.0,4.4,-4.5,0.67,0.0,9.0,13,0.0
2.8,0.0,2.0,57.0,4.3,-4.8,0.67,0.0,6.0,9,0.0
1.9,0.0,0.7,58.0,4.1,-5.5,0.67,0.0,8.0,12,0.0
3.4,0.0,1.9,57.0,4.4,-4.3,0.28,0.0,10.0,10,0.0
2.7,0.0,1.5,58.0,4.3,-4.7,0.59,0.0,9.0,12,0.0
6.3,0.0,2.7,56.0,5.4,-1.8,0.92,0.0,8.0,14,0.0
6.3,0.0,3.0,55.0,5.3,-2.0,0.85,0.0,9.0,13,0.0
3.6,0.0,3.3,58.0,4.6,-3.9,0.2,0.0,2.0,17,0.0
5.8,0.0,2.9,56.0,5.2,-2.3,1.37,0.0,3.0,11,0.0
5.4,0.0,1.2,55.0,4.9,-2.9,0.66,0.0,8.0,13,0.0
5.2,0.0,4.0,57.0,5.0,-2.6,0.2,0.0,4.0,17,0.0
4.0,0.0,2.1,58.0,4.766666666666667,-3.2333333333333334,0.13,0.0,2.6666666666666665,17,0.0
5.5,0.0,4.6,57.0,5.2,-2.3,0.84,0.0,3.0,14,0.0
